"","police_event_information_date_time_received","long","lat"
"111",2025-05-04 01:57:59,-86.718943,36.0686497
"112",2025-05-04 01:58:53,-86.7422153,36.0780982
"113",2025-05-04 02:03:56,-86.7249167,36.0750181
"114",2025-05-04 02:06:42,-86.7516007,36.0809313
"115",2025-05-04 02:13:30,-86.7249167,36.0750181
"116",2025-05-04 02:14:09,-86.6714682,36.1097216
"117",2025-05-04 02:15:18,-86.7455661,36.1127048
"118",2025-05-04 02:23:21,-86.7285722,36.075531
"119",2025-05-04 02:24:12,-86.6385145,36.0738746
"120",2025-05-04 02:30:17,-86.722463,36.0804385
"121",2025-05-04 02:36:32,-86.7249167,36.0750181
"122",2025-05-04 02:39:23,-86.7270994,36.085396
"123",2025-05-04 02:43:07,-86.6105645,36.0475252
"124",2025-05-04 02:46:19,-86.7249167,36.0750181
"125",2025-05-04 02:46:51,-86.7272314,36.0825966
"126",2025-05-04 02:48:55,-86.7389087,36.0985568
"127",2025-05-04 02:52:45,-86.7249167,36.0750181
"128",2025-05-04 02:56:06,-86.7249167,36.0750181
"129",2025-05-04 03:01:05,-86.7324345,36.073331
"130",2025-05-04 03:01:13,-86.7249167,36.0750181
"131",2025-05-04 03:03:22,-86.7191127,36.0681907
"132",2025-05-04 03:03:29,-86.7260776,36.0784081
"133",2025-05-04 03:11:07,-86.7322399,36.0901129
"134",2025-05-04 03:13:47,-86.7249167,36.0750181
"135",2025-05-04 03:18:01,-86.7262793,36.0795492
"136",2025-05-04 03:18:33,-86.7724728,36.040878
"137",2025-05-04 03:19:14,-86.8104968,36.1410457
"138",2025-05-04 03:21:42,-86.7114545,36.0769945
"139",2025-05-04 03:21:46,-86.7281724,36.084827
"140",2025-05-04 03:28:08,-86.7249167,36.0750181
"141",2025-05-04 03:32:16,-86.6768042,36.1078669
"142",2025-05-04 03:38:40,-86.7523227,36.0421189
"143",2025-05-04 03:41:03,-86.7249167,36.0750181
"144",2025-05-04 03:51:13,-86.7262793,36.0795492
"145",2025-05-04 03:56:50,-86.722463,36.0804385
"146",2025-05-04 03:59:13,-86.7405516,36.101798
"147",2025-05-04 04:18:50,-86.7170258,36.0629072
"148",2025-05-04 04:20:52,-86.7294949,36.0545306
"149",2025-05-04 04:35:04,-86.6839145,36.0921524
"150",2025-05-05 22:01:45,-86.664243,36.099267
"151",2025-05-05 22:08:56,-86.6717226,36.1057248
"152",2025-05-05 22:09:30,-86.5905371,36.1387641
"153",2025-05-05 22:11:56,-86.6556496,36.0961737
"154",2025-05-05 22:16:46,-86.6510329,36.1404654
"155",2025-05-05 22:17:43,-86.6414352,36.0771447
"156",2025-05-05 22:24:26,-86.7066368,36.2331469
"157",2025-05-05 22:28:48,-86.6510329,36.1404654
"158",2025-05-05 22:32:36,-86.6958213,36.1275408
"159",2025-05-05 22:38:40,-86.6240468,36.1452588
"160",2025-05-05 22:39:23,-86.7114545,36.0769945
"161",2025-05-05 22:41:37,-86.6986992,36.1360989
"162",2025-05-05 22:51:57,-86.7066368,36.2331469
"163",2025-05-05 22:54:26,-86.6265301,36.0903387
"164",2025-05-05 22:58:32,-86.7275547,36.0836183
"165",2025-05-05 22:59:02,-86.6508409,36.0849545
"166",2025-05-05 23:03:44,-86.6496638,36.0847638
"167",2025-05-05 23:08:53,-86.6453615,36.0794122
"168",2025-05-05 23:10:49,-86.6400106,36.058387
"169",2025-05-05 23:12:43,-86.609137,36.0452881
"170",2025-05-05 23:13:10,-86.6291646,36.1326809
"171",2025-05-05 23:16:55,-85.6907733,35.2426646
"172",2025-05-05 23:18:54,-86.6295913,36.0743943
"173",2025-05-05 23:20:03,-86.6065513,36.0428631
"174",2025-05-05 23:22:10,-86.6986992,36.1360989
"175",2025-05-05 23:23:12,-86.6385818,36.0744004
"176",2025-05-05 23:26:29,-86.7262793,36.0795492
"177",2025-05-05 23:27:29,-86.6306904,36.1168987
"178",2025-05-05 23:29:48,-86.6986992,36.1360989
"179",2025-05-05 23:32:09,-86.6301171,36.1252961
"180",2025-05-05 23:34:01,-86.5586549,36.0155928
"181",2025-05-05 23:36:28,-85.6907733,35.2426646
"182",2025-05-05 23:36:57,-86.7262793,36.0795492
"183",2025-05-05 23:38:13,-86.6518538,36.0493556
"184",2025-05-05 23:39:15,-86.7220847,36.0702838
"185",2025-05-05 23:41:26,-86.6294719,36.0657503
"186",2025-05-05 23:42:11,-86.634748,36.0739949
"187",2025-05-05 23:42:13,-86.6958213,36.1275408
"188",2025-05-05 23:42:18,-86.6129756,36.0589318
"189",2025-05-05 23:42:22,-86.7233272,36.080372
"190",2025-05-05 23:46:52,-86.7724728,36.040878
"191",2025-05-05 23:48:29,-86.7490983,36.0803992
"192",2025-05-05 23:48:45,-86.6244374,36.0890781
"193",2025-05-05 23:50:25,-86.6958213,36.1275408
"194",2025-05-05 23:50:33,-86.7724728,36.040878
"195",2025-05-05 23:55:39,-86.6385818,36.0744004
"196",2025-05-05 23:57:37,-86.7724728,36.040878
"197",2025-05-06 00:00:06,-86.715053,36.0481338
"198",2025-05-06 00:00:53,-86.648584,36.0868039
"199",2025-05-06 00:01:07,-86.7167589,36.0613061
"200",2025-05-06 00:12:58,-86.6958213,36.1275408
"201",2025-05-06 00:15:29,-86.6159041,36.0592659
"202",2025-05-06 00:20:10,-85.6907733,35.2426646
"203",2025-05-06 00:21:28,-86.6283547,36.064706
"204",2025-05-06 00:22:29,-86.6580008,36.0460692
"205",2025-05-06 00:23:12,-86.6726034,36.1061208
"206",2025-05-06 00:35:35,-86.7491789,36.0416121
"207",2025-05-06 00:37:08,-86.6518538,36.0493556
"208",2025-05-06 00:38:25,-86.631129,36.0811127
"209",2025-05-06 00:38:48,-86.7724728,36.040878
"210",2025-05-06 00:41:24,-86.6035651,36.0456608
"211",2025-05-06 00:42:01,-85.6907733,35.2426646
"212",2025-05-06 00:43:24,-86.6305412,36.0659932
"213",2025-05-06 00:44:22,-86.6615098,36.0448456
"214",2025-05-06 00:44:53,-85.6907733,35.2426646
"215",2025-05-06 00:49:30,-86.6248527,36.0932218
"216",2025-05-06 00:49:40,-86.7328506,36.1097817
"217",2025-05-06 00:49:50,-86.7043511,36.0516044
"218",2025-05-06 00:55:06,-86.6304336,36.1256531
"219",2025-05-06 00:58:01,-86.7328506,36.1097817
"220",2025-05-06 01:04:00,-86.6134985,36.0502911
"221",2025-05-06 01:06:09,-86.7328506,36.1097817
"222",2025-05-06 01:06:45,-85.6907733,35.2426646
"223",2025-05-06 01:12:08,-86.5896337,36.0276172
"224",2025-05-06 01:12:19,-85.6907733,35.2426646
"225",2025-05-06 01:14:35,-86.699478,36.0455911
"226",2025-05-06 01:20:22,-86.7132497,36.0453766
"227",2025-05-06 01:23:01,-86.6187287,36.0543384
"228",2025-05-06 01:25:14,-86.6311318,36.1342075
"229",2025-05-06 01:28:03,-86.7328506,36.1097817
"230",2025-05-06 01:30:33,-86.7456458,36.0776716
"231",2025-05-06 01:34:40,-86.6462937,36.0815415
"232",2025-05-06 01:39:56,-86.7249167,36.0750181
"233",2025-05-06 01:40:59,-86.6839145,36.0921524
"234",2025-05-06 01:42:23,-86.7550738,36.0814029
"235",2025-05-06 01:43:27,-86.7328506,36.1097817
"236",2025-05-06 01:46:41,-86.6698193,36.1049393
"237",2025-05-06 01:47:03,-86.6922148,36.0874328
"238",2025-05-06 01:50:21,-86.6715948,36.0597177
"239",2025-05-06 01:50:41,-86.7234036,36.0709577
"240",2025-05-06 01:57:53,-86.5905371,36.1387641
"241",2025-05-06 01:59:50,-86.6268119,36.0900681
"242",2025-05-06 02:00:15,-86.6715948,36.0597177
"243",2025-05-06 02:00:23,-86.5905371,36.1387641
"244",2025-05-06 02:03:03,-86.6615098,36.0448456
"245",2025-05-06 02:07:32,-86.7451877,36.1109273
"246",2025-05-06 02:08:55,-86.678954,36.0476992
"247",2025-05-06 02:12:32,-86.6469073,36.050817
"248",2025-05-06 02:14:54,-86.8291472,36.2026585
"249",2025-05-06 02:18:44,-86.7258448,36.0446629
"250",2025-05-06 02:23:20,-86.6347617,36.0934352
"251",2025-05-06 02:24:29,-86.6715948,36.0597177
"252",2025-05-06 02:25:04,-86.6262364,36.14525
"253",2025-05-06 02:29:54,-86.6556496,36.0961737
"254",2025-05-06 02:36:25,-86.8291472,36.2026585
"255",2025-05-06 02:37:53,-86.71256,36.0309793
"256",2025-05-06 02:46:14,-86.7170258,36.0629072
"257",2025-05-06 02:49:27,-86.67521,36.0998119
"258",2025-05-06 02:50:47,-85.6907733,35.2426646
"259",2025-05-06 02:52:37,-86.6312469,36.0674514
"260",2025-05-06 02:56:44,-86.7136205,36.0794614
"261",2025-05-06 02:57:09,-86.6469794,36.0831373
"262",2025-05-06 02:57:39,-86.7055416,36.083965
"263",2025-05-06 03:03:48,-86.722833,36.080547
"264",2025-05-06 03:12:38,-86.6666784,36.1033206
"265",2025-05-06 03:13:59,-86.6375649,36.0696021
"266",2025-05-06 03:22:30,-86.6666784,36.1033206
"267",2025-05-06 03:46:20,-86.6772686,36.0950312
"268",2025-05-06 04:07:24,-86.7311002,36.2374503
"269",2025-05-06 22:34:25,-86.7145935,36.3281148
